0807
INFO:root:Epoch[11] Batch [2680]	Speed: 680.68 samples/sec	acc=0.459766
lr-batch-epoch: 0.001 2682 11
saving 17
INFO:root:Saved checkpoint to "/data/xinguanxi/modify_insightface_relu/models/cosface-relu/car-reid-0017.params"
[34000]Accuracy-Highest: 0.00000
INFO:root:Epoch[11] Batch [2700]	Speed: 608.22 samples/sec	acc=0.462370
INFO:root:Epoch[11] Batch [2720]	Speed: 677.46 samples/sec	acc=0.457292
INFO:root:Epoch[11] Batch [2740]	Speed: 682.08 samples/sec	acc=0.465104
INFO:root:Epoch[11] Batch [2760]	Speed: 686.50 samples/sec	acc=0.462240
INFO:root:Epoch[11] Batch [2780]	Speed: 681.11 samples/sec	acc=0.461849
INFO:root:Epoch[11] Batch [2800]	Speed: 688.44 samples/sec	acc=0.468099
INFO:root:Epoch[11] Batch [2820]	Speed: 671.96 samples/sec	acc=0.463411
INFO:root:Epoch[11] Batch [2840]	Speed: 679.87 samples/sec	acc=0.464062
INFO:root:Epoch[11] Train-acc=0.464410
INFO:root:Epoch[11] Time cost=1615.962
call reset()
INFO:root:Epoch[12] Batch [20]	Speed: 673.93 samples/sec	acc=0.489707
INFO:root:Epoch[12] Batch [40]	Speed: 670.86 samples/sec	acc=0.487630
INFO:root:Epoch[12] Batch [60]	Speed: 685.04 samples/sec	acc=0.477083
INFO:root:Epoch[12] Batch [80]	Speed: 663.75 samples/sec	acc=0.486198
INFO:root:Epoch[12] Batch [100]	Speed: 681.32 samples/sec	acc=0.485286
INFO:root:Epoch[12] Batch [120]	Speed: 670.84 samples/sec	acc=0.494271
INFO:root:Epoch[12] Batch [140]	Speed: 681.53 samples/sec	acc=0.482943
INFO:root:Epoch[12] Batch [160]	Speed: 670.06 samples/sec	acc=0.481641
INFO:root:Epoch[12] Batch [180]	Speed: 684.83 samples/sec	acc=0.490495
INFO:root:Epoch[12] Batch [200]	Speed: 669.43 samples/sec	acc=0.480339
INFO:root:Epoch[12] Batch [220]	Speed: 681.17 samples/sec	acc=0.482812
INFO:root:Epoch[12] Batch [240]	Speed: 683.80 samples/sec	acc=0.483984
INFO:root:Epoch[12] Batch [260]	Speed: 674.85 samples/sec	acc=0.494531
INFO:root:Epoch[12] Batch [280]	Speed: 679.24 samples/sec	acc=0.492708
INFO:root:Epoch[12] Batch [300]	Speed: 679.58 samples/sec	acc=0.495312
INFO:root:Epoch[12] Batch [320]	Speed: 676.92 samples/sec	acc=0.481380
INFO:root:Epoch[12] Batch [340]	Speed: 677.44 samples/sec	acc=0.478255
INFO:root:Epoch[12] Batch [360]	Speed: 676.90 samples/sec	acc=0.482943
INFO:root:Epoch[12] Batch [380]	Speed: 672.15 samples/sec	acc=0.495964
INFO:root:Epoch[12] Batch [400]	Speed: 673.60 samples/sec	acc=0.473958
INFO:root:Epoch[12] Batch [420]	Speed: 676.32 samples/sec	acc=0.477734
